FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,DifferenceTotal,VotesTotal2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,PercentageDemocratOrRepublican,OnlyRepublicanPERCENTAGE2016,OnlyDemocratPERCENTAGE2016,VotesONLYRepublican2016,VotesONLYDDemocratic2016,,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
48011,"Bee County, Texas",28.411702,-97.74628,TX,County,Central-S,3444,4744,1300,8482.00,41,56,0,56,0.56,0,1300,0,,28021,0.53,0.03,0,0.13,0.02,0.15,4.3,867,0.28,36027
48013,"Bell County, Texas",31.07554,-97.52032,TX,County,Central-S,37801,51998,14197,94980.00,40,55,0,55,0.55,0,14197,0,,16848,0.39,0.08,0.01,0.56,0.05,0.22,36.2,880,0.29,40680
48015,"Bexar County, Texas",29.453231,-98.50894,TX,County,Central-S,319550,240333,79217,589598.00,54,41,1,-54,0,0.54,0,79217,,22857,0.61,0.22,0.03,0.22,0.07,0.15,295.2,1051,0.29,51048
48017,"Blanco County, Texas",30.24156,-98.38191,TX,County,Central-S,1244,4212,2968,5685.00,22,74,0,74,0.74,0,2968,0,,24253,0.58,0.08,0.03,0.55,0.12,0.18,1382.9,1240,0.27,50699
48019,"Borden County, Texas",32.724363,-101.43573,TX,County,Central-S,31,330,299,365.00,9,90,0,90,0.9,0,299,0,,26781,0.59,0.01,0,0.19,0.08,0.09,14.8,709,0.29,57177
48021,"Bosque County, Texas",31.888946,-97.61177,TX,County,Central-S,1278,6339,5061,7838.00,16,81,0,81,0.81,0,5061,0,,50042,0.63,0.01,0,0.15,0.01,0.01,0.7,897,0.27,61750
48023,"Bowie County, Texas",33.43807,-94.25019,TX,County,Central-S,8838,24924,16086,34599.00,26,72,0,72,0.72,0,16086,0,,23992,0.47,0.02,0.01,0.17,0.06,0.15,18.5,983,0.28,44397
48025,"Brazoria County, Texas",29.206445,-95.39805,TX,County,Central-S,43200,72791,29591,121174.00,36,60,0,60,0.6,0,29591,0,,22911,0.52,0.24,0.01,0.07,0.03,0.2,104.6,885,0.32,41883
48027,"Brazos County, Texas",30.634948,-96.34198,TX,County,Central-S,23121,38738,15617,67202.00,34,58,0,58,0.58,0,15617,0,,29081,0.6,0.13,0.06,0.27,0.12,0.11,230.6,1358,0.31,73788
48029,"Brewster County, Texas",29.994131,-103.40221,TX,County,Central-S,1873,2077,204,4252.00,44,49,0,49,0.49,0,204,0,,21720,0.64,0.11,0.05,0.23,0.12,0.3,333.1,585,0.28,41641
